foodname,foodcategory,city,materials,description
kek,"Türk Mutfağı – Tatlı",Istanbul,"un,şeker,yumurta,süt,kabartma tozu","Tüm kuru malzemeler (un, kabartma tozu) ile yumurta, şeker ve süt iyice çırpılır. Hamur kek kalıbına dökülür ve önceden ısıtılmış fırında kabarıp altın rengini alana kadar pişirilir. Fırından çıkar çıkmaz dilimlenerek servis edilir. Üzerine isteğe bağlı pudra şekeri serpilebilir."
baklava,"Türk Mutfağı – Tatlı",Gaziantep,"yufka,ceviz,şerbet,tereyağı","İnce yufkalar teker teker açılır, her katına eritilmiş tereyağı sürülür. Yufkalar arasında ceviz serpilir ve katlar dikkatlice üst üste konur. Önceden hazırlanmış ılık şerbet yufkanın üzerine dökülür. Fırında hafifçe kızartıldıktan sonra, şerbeti çekmesi için dinlendirilir ve dilimlenerek servis edilir."
döner dürüm,"Türk Mutfağı – Sokak Lezzeti",Istanbul,"döner,lavaş,domates,soğan,maydanoz","Döner et, döner ocağında yavaşça pişirildikten sonra ince dilimler halinde kesilir. Taze lavaş ekmeği içerisine alınır. Üzerine dilimlenmiş domates, soğan ve ince kıyılmış maydanoz eklenir. Rulo şeklinde sarılarak sıcak servis edilir."
iskender kebap,"Türk Mutfağı – Kebap",Bursa,"döner,pilav,yoğurt,domates sosu","Döner et dilimleri, pilavın üzerine yerleştirilir. Üzerine bolca yoğurt dökülür ve domates sosu gezdirilir. Tüm malzemeler sıcak olarak servis edilir. Yanında tereyağlı lavaş ile tamamlanır."
su böreği,"Türk Mutfağı – Börek",Istanbul,"yufka,peynir,maydanoz,yumurta,süt","Yufkalar, tereyağı ile yağlanır ve aralarına peynir, maydanoz, yumurta karışımı konur. Katlar özenle üst üste dizilir ve süt ile ıslatılır. Fırında hafifçe pişirilir, su böreğinin yumuşak dokusu korunur. Sıcak olarak dilimlenip servis edilir."
pide,"Türk Mutfağı – Pide",Trabzon,"hamur,peynir,sucuk,yumurta","Hamur, un ve su ile yoğrulur, mayalanması için dinlendirilir. İnce uzun şekilde açılır ve üzerine rendelenmiş peynir, dilimlenmiş sucuk ve yumurta kırılır. Kenarları kıvrılarak kapatılır ve taş fırında yüksek sıcaklıkta pişirilir. Sıcak olarak dilimlenip servis edilir."
çiğ köfte,"Türk Mutfağı – Çiğ Köfte",Şanlıurfa,"ince bulgur,biber salçası,domates,yeşillik","İnce bulgur, biber salçası ve su ile yoğrulur. Küçük domates parçaları ve doğranmış yeşillikler eklenir. Tüm malzemeler iyice yoğrularak acı ve aromatik bir karışım elde edilir. Yoğrulmuş çiğ köfte, marul yaprakları üzerinde şekillendirilerek servis edilir."
helva,"Türk Mutfağı – Tatlı",Gaziantep,"un,tereyağı,şeker,su","Un, eritilmiş tereyağı ile kavrulur, altın rengini alana kadar pişirilir. Şeker ve su ilave edilerek sürekli karıştırılır. Helva, kıvam alıp soğumaya bırakılmadan hemen sıcak servis edilir. Üzerine isteğe bağlı fıstık serpilebilir."
ayran aşı çorbası,"Türk Mutfağı – Çorba",Kayseri,"yoğurt,nohut,bulgur,nane","Yoğurt çırpılır ve içine haşlanmış nohut ile ince bulgur eklenir. Karışım pürüzsüz hale gelene kadar çırpılır. Ayran aşı çorbası, nane ve baharatlarla tatlandırılır. Kısık ateşte birkaç dakika ısıtıldıktan sonra sıcak olarak servis edilir."
etli ekmek,"Türk Mutfağı – Ekmek",Konya,"hamur,kıyma,soğan,biber","Hamur, un ve su ile yoğrulur, ince açılır. Üzerine baharatlı kıyma, ince doğranmış soğan ve biber serpilir. Kenarları hafifçe kıvrılarak kapatılır ve fırında yüksek sıcaklıkta pişirilir. Sıcak olarak dilimlenip servis edilir."
tepsi kebabı,"Türk Mutfağı – Kebap",Adana,"kıyma,patates,biber,domates","Kıyma, patates, biber ve domates kat kat ince dilimler halinde kesilir. Tüm malzemeler geniş bir tepsiye dizilir, aralarına baharatlar eklenir. Fırında ağır ateşte pişirilir; malzemeler birbirine karışıp lezzetli bir bütün oluşturur. Sıcak olarak servis edilir."
fırın makarna,"Türk Mutfağı – Makarna",Istanbul,"makarna,kaşar peyniri,domates,beşamel","Haşlanmış makarna, kaşar peyniri ve domates sosu ile karıştırılır. Üzerine ev yapımı beşamel sos dökülür. Tüm malzemeler fırın tepsisine yayılır ve yüksek sıcaklıkta pişirilir. Fırından çıkar çıkmaz dilimlenip sıcak servis edilir."
kabak tatlısı,"Türk Mutfağı – Tatlı",Ankara,"kabak,şeker,ceviz,tarçın","Kabak dilimleri, şeker ile karıştırılarak tencerede pişirilir. Yumuşayana kadar kısık ateşte demlendirilir. Üzerine dövülmüş ceviz ve tarçın serpilir. Soğuduktan sonra tatlı olarak servis edilir."
sütlaç,"Türk Mutfağı – Tatlı",Istanbul,"pirinç,süt,şeker,vanilya","Pirincin süt ve şeker ile birlikte tencereye alınarak kaynaması sağlanır. Kısık ateşte süt çekene kadar pişirilir. Fırınlanarak üzeri hafifçe kızartılır ve vanilya ile tatlandırılır. Ilık veya soğuk olarak servis edilir."
revani,"Türk Mutfağı – Tatlı",Istanbul,"un,şeker,yumurta,irmik,limon","Un, irmik, şeker ve yumurta karıştırılarak hamur elde edilir. Hamur kalıba dökülüp önceden ısıtılmış fırında pişirilir. Pişen revani üzerine limon şerbeti dökülür ve şerbetin çekmesi için dinlendirilir. Dilimlenip servis edilir."
spagetti,"İtalyan-Türk Füzyonu",Istanbul,"makarna,domates sosu,köfte,peynir","Makarnalar haşlanır ve süzülür. Köfte, baharatlarla hazırlanıp kızgın yağda kızartılır. Domates sosu, haşlanmış makarna ve kızarmış köfte ile karıştırılır. Üzerine rendelenmiş peynir eklenip sıcak olarak servis edilir."
hamburger,"Amerikan Mutfağı",New York,"ekmek,köfte,peynir,domates,marul","Izgara köfte, tuz ve karabiberle tatlandırılır. Ekmekler hafifçe ısıtılır, altına taze marul, dilimlenmiş domates ve erimiş peynir konur. Köfte ekmek arasına yerleştirilir. Tüm malzemelerle birlikte sandviç şeklinde paketlenerek servis edilir."
falafel,"Orta Doğu Mutfağı",Beirut,"nohut,soğan,yeşillik,baharat","Haşlanmış nohut, sarımsak, soğan ve yeşillikler blendırda püre haline getirilir. Baharatlar eklenip yoğrulup küçük toplar oluşturulur. Kızgın yağda altın rengi alana kadar kızartılır. Dışı çıtır, içi yumuşak falafel meze olarak servis edilir."
taco,"Meksika Mutfağı",Mexico City,"mısır ekmeği,et,domates,marul,peynir","Mısır ekmeği hafifçe ısıtılır, içine baharatlı olarak pişirilmiş et yerleştirilir. Üzerine taze doğranmış domates, marul ve rendelenmiş peynir eklenir. Küçük porsiyonlar halinde katlanarak servis edilir. Yanında salsa sosu ile tamamlanır."
kumpir,"Türk Mutfağı – Sokak Lezzeti",Istanbul,"patates,salam,peynir,zeytin,kısır","Büyük boy patates fırında iyice pişirilir, içi açılır. İçine dilimlenmiş salam, erimiş peynir, zeytin ve kısır eklenir. Malzemeler iyice karıştırılarak doldurulur. Sıcak olarak, yanına ek soslarla servis edilir."
lasagna,"İtalyan Mutfağı",Bologna,"makarna,yemeklik et,beşamel sos,peynir","Kat kat yerleştirilen haşlanmış makarna, sotelenmiş yemeklik et ve beşamel sos hazırlanır. Üzerine kaşar peyniri rendelenir ve fırına verilir. Fırında kabarınca dilimlenir. Sıcak olarak servis edilir."
kısır,"Türk Mutfağı – Salata",Adana,"bulgur,tuz,domates,salatalık,nane,limon","İnce çekilmiş bulgur, sıcak su ile ıslatılır. Küçük doğranmış domates, salatalık, nane ve limon suyu eklenir. Malzemeler iyice karıştırılarak soğuk olarak dinlendirilir. Hafif ve ferahlatıcı bir salata olarak sunulur."
muffin,"Amerikan Mutfağı",New York,"un,yumurta,şeker,vanilya","Kuru malzemeler un ve şeker, ıslak malzemeler yumurta ve vanilya ile karıştırılır. Hamur muffin kalıplarına dökülür ve önceden ısıtılmış fırında kabarana kadar pişirilir. Fırından çıkar çıkmaz soğumaya bırakılır. Kahvaltı veya atıştırmalık olarak servis edilir."
sushi,"Japon Mutfağı",Tokyo,"pirinç,balık,soya sosu,wasabi","Sirkeli pirinç özenle hazırlanır ve soğutulur. Taze balık dilimleri, pirincin üzerine dikkatlice yerleştirilir. Deniz yosunu ile rulolar oluşturulur. Wasabi ve soya sosu eşliğinde soğuk olarak servis edilir."
çörek,"Türk Mutfağı – Hamur İşi",Ankara,"un,yumurta,tuz,tereyağı","Un, yumurta, tuz ve eritilmiş tereyağı ile yoğrulur, mayalanması için dinlendirilir. Şekil verilip fırın tepsisine dizilir. Önceden ısıtılmış fırında altın rengi alana kadar pişirilir. Sıcak olarak servis edilir."
gözleme,"Türk Mutfağı – Gözleme",Aydın,"yufka,peynir,ıspanak,zeytinyağı","Yufka incecik açılır, içine rendelenmiş peynir ve ince doğranmış ıspanak konur. Yufka ikiye katlanarak sac üzerinde veya tavada her iki yüzü de pişirilir. Altın rengi alana kadar pişirildikten sonra sıcak olarak kesilip servis edilir."
yoğurtlu kabak,"Türk Mutfağı",Istanbul,"kabak,yoğurt,sarımsak,zeytinyağı","Kabaklar haşlanır ve dilimlenir, soğumaya bırakılır. Yoğurt, ezilmiş sarımsak ve zeytinyağı karıştırılarak sos hazırlanır. Kabak dilimleri yoğurtlu sos ile nazikçe harmanlanır. Soğuk olarak meze şeklinde servis edilir."
börek (ıspanak),"Türk Mutfağı – Börek",Istanbul,"yufka,peynir,ıspanak,tereyağı","Yufkalar açılır ve üzerine ince doğranmış ıspanak, beyaz peynir ve eritilmiş tereyağı konur. Katlar özenle sarılır ve rulo haline getirilir. Dilimlenip fırında altın rengi alıncaya kadar pişirilir. Sıcak olarak servis edilir."
fırın tavuk,"Türk Mutfağı – Ana Yemek",Istanbul,"tavuk,limon,soğan,patates","Tavuk, limon suyu, soğan ve dilimlenmiş patates ile marine edilir. Fırın tepsisine yerleştirilir ve önceden ısıtılmış fırında, altın rengi alana kadar pişirilir. Piştikten sonra dilimlenip sıcak olarak servis edilir. Yanında yeşil salata ile tamamlanır."
beşamel soslu karnıbahar,"Türk Mutfağı – Sebze Yemeği",Istanbul,"karnıbahar,beşamel sos,tereyağı,peynir","Karnıbahar küçük parçalara ayrılır ve haşlanır. Ayrı bir sos tenceresinde beşamel sos hazırlanır; içine eritilmiş tereyağı ve rendelenmiş peynir eklenir. Haşlanmış karnıbahar, sos ile karıştırılarak fırın tepsisine dizilir. Fırında hafifçe kızarana kadar pişirildikten sonra sıcak olarak servis edilir."
mücver,"Türk Mutfağı – Meze",İzmir,"kabak,un,yumurta,tuz,soğan","Rendelenmiş kabak, un, yumurta ve ince doğranmış soğan karıştırılır. Tuz ve baharatlarla tatlandırılır. Karışım top şeklinde veya küçük yassı mücverler haline getirilir. Kızgın yağda kızartılıp sıcak olarak servis edilir."
şiş kebap,"Türk Mutfağı – Kebap",Adana,"et,biber,tuz,soğan","Kıyılmış et, doğranmış biber ve soğan, tuz ve baharatlarla yoğrulur. Karışım şişlere dizilir ve mangalda ya da fırında yüksek ısıda pişirilir. Etin dışı kızarıp içi yumuşak kalması sağlanır. Sıcak olarak lavaş ile servis edilir."
balık ekmek,"Türk Mutfağı – Sokak Lezzeti",Istanbul,"balık,ekmek,soğan,limon","Taze balık fileto, tuz ve baharatlarla marine edilir ve ızgarada pişirilir. Ekmek hafifçe ısıtılır, üzerine ince dilimlenmiş soğan ve limon dilimleri konur. Pişen balık ekmek arasına yerleştirilir. Sıcak olarak sokak lezzeti şeklinde servis edilir."
közlenmiş patlıcan salatası,"Türk Mutfağı – Salata",Adana,"patlıcan,domates,soğan,zeytinyağı","Patlıcanlar közde veya fırında kabukları yanacak şekilde pişirilir. Soğuduktan sonra kabukları soyulur ve küp doğranır. Domates ve soğan ince dilimlenir, zeytinyağı ile karıştırılır. Közlenmiş patlıcan eklenip taze nane ile servis edilir."
etli pilav,"Türk Mutfağı – Pilav",Istanbul,"pirinç,et,soğan,biber","Pirincin üzerine, önceden sotelenmiş et, soğan ve biber eklenir. Tereyağı ile kavrulan pirinç, et suyunda demlenir. Malzemeler iyice karışınca sıcak olarak servis edilir. Yanında yoğurt ile tamamlanır."
spaghetti carbonara,"İtalyan Mutfağı",Rome,"spagetti,pancetta,yumurta,parmesan,karabiber","Spagetti haşlanır ve süzülür. Kızartılmış pancetta, yumurta ve parmesan karışımı hızlıca karıştırılır. Haşlanmış makarna bu karışıma eklenir, karabiber serpilir. Kremasız, orijinal tarzda hemen servis edilir."
risotto,"İtalyan Mutfağı",Milan,"arborio pirinci,beyaz şarap,parmesan,tereyağı,soğan,et suyu","Arborio pirinci tereyağı ve ince doğranmış soğanla kavrulur. Beyaz şarap eklenip alkolü uçurulduktan sonra, sıcak et veya sebze suyu yavaşça eklenir. Pirinç kremamsı bir kıvama gelene kadar karıştırılarak pişirilir. Son olarak parmesan rendesi ile servis edilir."
tiramisu,"İtalyan Mutfağı – Tatlı",Venice,"mascarpone,espresso,savoiardi bisküvileri,kakao tozu,yumurta,şeker","Savoiardi bisküvileri kahveya batırılır, mascarpone karışımı (yumurta, şeker ve mascarpone) ile katmanlar oluşturulur. Katlar, soğutucuda birkaç saat dinlendirilir. Üzerine incecik kakao serpilir ve tatlı soğuk olarak sunulur."
caprese salad,"İtalyan Mutfağı – Salata",Capri,"domates,mozzarella,fesleğen,zeytinyağı,tuz","Olgun domates ve taze mozzarella dilimlenir. Fesleğen yaprakları taze olarak eklenir. Zeytinyağı, tuz ve isteğe bağlı balsamik sirke ile tatlandırılır. Taze ve soğuk olarak salata şeklinde servis edilir."
margherita pizza,"İtalyan Mutfağı",Naples,"hamur,domates sosu,mozzarella,fesleğen","Hamur yoğrulur, ince bir şekilde açılır ve domates sosu yayılır. Mozzarella dilimleri ve fesleğen yaprakları eklenir. Yüksek sıcaklıkta fırında kısa süre pişirilir. Kenarları çıtır, içi yumuşak pizza olarak servis edilir."
bolognese,"İtalyan Mutfağı",Bologna,"kıyma,domates sosu,soğan,havuç,kereviz,makarna","Kıyma, soğan, havuç ve kereviz ince doğranarak kavrulur. Domates sosu eklenip uzun süre pişirilir. Kıyma sosu, haşlanmış makarna ile karıştırılır. Üzerine parmesan serpilerek sıcak servis edilir."
fettuccine alfredo,"İtalyan Mutfağı",Rome,"fettuccine,tereyağı,parmesan,krema","Fettuccine makarna haşlanır, süzülür. Tereyağı, krema ve parmesan, kısık ateşte karıştırılarak pürüzsüz bir sos hazırlanır. Makarnalar bu sosla iyice karıştırılır. Sıcak olarak hemen servis edilir."
minestrone soup,"İtalyan Mutfağı – Çorba",Tuscany,"sebzeler,fasulye,makarna,domates,zeytinyağı","Mevsim sebzeleri, fasulye, makarna ve domates sosu büyük bir tencerede birleştirilir. Zeytinyağı ve baharatlar eklenir. Karışım, kısık ateşte lezzetlerin birbirine geçmesi için uzun süre pişirilir. Sıcak olarak servis edilir."
osso buco,"İtalyan Mutfağı",Milan,"dana incik,sebzeler,beyaz şarap,et suyu,gremolata","Dana incikleri, soğan, havuç ve kerevizle birlikte beyaz şarap ve et suyunda yavaşça pişirilir. Et iyice yumuşadığında, gremolata (limon kabuğu, sarımsak, maydanoz) eklenir. Güveçte uzun süre demlendikten sonra sıcak olarak servis edilir. Yanında risotto önerilir."
panettone,"İtalyan Mutfağı – Tatlı",Milan,"un,şeker,yumurta,kuru meyveler,tereyağı","Meyveli mayalı hamur yoğrulur ve uzun süre mayalanmaya bırakılır. Hamur yüksek fırında pişirilir, dilimlenerek soğutulur. Hafif nemli dokusu ve meyve parçaları ile tatlı bir lezzet sunar. Çay veya kahve ile servis edilir."
quiche lorraine,"Fransız Mutfağı",Lorraine,"hamur,yumurta,krema,bacon,peynir","Hazırlanmış hamur kalıbı, ince dilimlenmiş bacon ile kaplanır. Üzerine çırpılmış yumurta, krema ve rendelenmiş peynir dökülür. Fırında altın rengini alana kadar pişirilir. Ilık veya soğuk olarak dilimlenip servis edilir."
ratatouille,"Fransız Mutfağı – Sebze Yemeği",Nice,"patlıcan,kabak,biber,domates,soğan,sarımsak,otlar","Patlıcan, kabak, biber, domates, soğan ve sarımsak büyük parçalar halinde doğranır. Zeytinyağında kısık ateşte uzun süre pişirilir. Taze otlar ve baharatlar eklenir. Sebzelerin doğal lezzetleri ön plana çıkarılarak sıcak servis edilir."
coq au vin,"Fransız Mutfağı",Burgundy,"tavuk,kırmızı şarap,mantar,soğanlar,bacon,sarımsak","Tavuk parçaları, kırmızı şarap ve et suyunda uzun süre kısık ateşte pişirilir. Soğan, havuç, mantar ve sarımsak eklenir. Etler iyice yumuşayınca, taze otlarla süslenir. Sıcak olarak servis edilir."
bouillabaisse,"Fransız Mutfağı – Deniz Ürünleri",Marseille,"balık,kabuklu deniz ürünleri,domates,safran,rezene,sarımsak","Farklı deniz ürünleri, domates, safran, rezene ve sarımsakla birlikte büyük bir tencerede kaynatılır. Özellikle deniz ürünlerinin pişme süreleri dikkatle ayarlanır. Zengin aromalı sos, deniz ürünleri ile harmanlanır. Sıcak ve bol baharatlı olarak servis edilir."
crêpes,"Fransız Mutfağı",Brittany,"un,süt,yumurta,tereyağı,şeker","Un, süt, yumurta ve eritilmiş tereyağı karıştırılarak ince bir hamur elde edilir. İnce tabaka halinde tavada her iki yüzü de kısa sürede pişirilir. İsteğe bağlı tatlı veya tuzlu harç eklenir. Hafif ve narin olarak servis edilir."
croissant,"Fransız Mutfağı",Paris,"un,tereyağı,maya,şeker,tuz","Mayalı hamur incecik açılır ve kat kat tereyağı eklenir. Katlar oluşturularak sarılır, önceden ısıtılmış fırında altın rengini alana kadar pişirilir. Çıtır dış yüzeyi ve yumuşak iç dokusu ile servis edilir. Kahvaltıda ideal bir seçenek sunar."
steak frites,"Fransız Mutfağı",Paris,"biftek,patates kızartması,tuz,karabiber","Kalın kesilmiş steak, yüksek ısıda ızgarada veya tavada pişirilir. Yanında ince kesilmiş patatesler kızartılır. Et, tuz ve karabiberle tatlandırılır. Sıcak olarak yanında mayonez veya sos ile servis edilir."
soupe à l'oignon,"Fransız Mutfağı",Paris,"soğan,et suyu,krutonlar,gruyere peyniri","Soğanlar ince dilimlenip, tereyağında karamelize edilir. Karamelize soğanlar, et suyu ile birleştirilip kaynatılır. Üzerine kruton ve rendelenmiş gruyere peyniri eklenir, fırında hafifçe kızartılır. Sıcak olarak servis edilir."
tarte tatin,"Fransız Mutfağı – Tatlı",Lamotte-Beuvron,"elma,milföy hamuru,tereyağı,şeker","Elmalar dilimlenip tereyağı ve şekerle birlikte karamelize edilir. Karamelize elmalar, milföy hamurunun üzerine yerleştirilir. Ters çevrilerek fırında pişirilir. Soğuduktan sonra dilimlenip servis edilir."
cassoulet,"Fransız Mutfağı",Toulouse,"beyaz fasulye,ördek,sosis,domuz eti","Beyaz fasulye, ördek, sosis ve domuz eti uzun süre kısık ateşte pişirilir. Tüm malzemeler derin bir tencerede birleştirilir. Sos ve etler iyice karışıp yumuşayana kadar pişirilir. Yoğun ve doyurucu olarak servis edilir."
nicoise salad,"Fransız Mutfağı – Salata",Nice,"ton balığı,yeşil fasulye,zeytin,patates,yumurta,ançuez","Haşlanmış patates, yeşil fasulye ve yumurta dilimlenir. Ton balığı ve ançuez eklenir, zeytinyağı ve limon sosuyla karıştırılır. Zengin ve taze bir salata elde edilir. Soğuk olarak servis edilir."
beef bourguignon,"Fransız Mutfağı",Burgundy,"dana eti,kırmızı şarap,mantarlar,havuçlar,soğanlar,sarımsak","Dana eti, kırmızı şarap ve et suyunda uzun süre kısık ateşte pişirilir. Soğan, havuç, mantar ve sarımsak eklenir. Etler iyice yumuşayınca, yoğun bir sos elde edilir. Sıcak olarak pilav veya ekmekle servis edilir."
sole meunière,"Fransız Mutfağı",Paris,"sole balığı,un,tereyağı,limon,maydanoz","Sole balığı önceden unlanır ve tereyağında kızartılır. Kızarmış balık, limon suyu ve maydanozla tatlandırılır. Hızlıca servis edilmek üzere sıcak tutulur. Yanında hafif garnitürlerle sunulur."
duck confit,"Fransız Mutfağı",Gascony,"ördek,tuz,sarımsak,kekik,ördek yağı","Önceden tuz, sarımsak ve kekik ile marine edilen ördek butları, kendi yağıyla düşük ısıda yavaşça pişirilir. Et yumuşadığında dışı çıtırlaşır. Yağı ile birlikte servis edilmek üzere dinlendirilir. Geleneksel Fransız tarzında sunulur."
paella,"İspanyol Mutfağı",Valencia,"pirinç,safran,tavuk,deniz ürünleri,sebzeler","Safranla renklendirilmiş pirinç, tavuk, deniz ürünleri ve sebzeler geniş bir tava veya paellera konur. Yüksek ateşte, pirinç suyu çekene kadar pişirilir. Malzemeler dengeli şekilde karışır. Sıcak olarak, limon dilimleri eşliğinde servis edilir."
gazpacho,"İspanyol Mutfağı – Çorba",Andalusia,"domates,salatalık,biber,sarımsak,zeytinyağı,sirke","Domates, salatalık, biber ve sarımsak blendırda püre haline getirilir. Zeytinyağı, sirke ve tuz eklenir. Soğuk olarak iyice karıştırılır. Ferahlatıcı ve serinletici çorba olarak servis edilir."
tortilla española,"İspanyol Mutfağı",Madrid,"yumurta,patates,soğan,zeytinyağı","Patates ve soğan ince dilimlenip zeytinyağında yumuşayıncaya kadar pişirilir. Yumurtalar çırpılır, pişmiş sebzelerle karıştırılır. Karışım tavada pişirilip kalın bir omlet kıvamı alır. Dilimlenip sıcak veya oda sıcaklığında servis edilir."
